Year Purchased,Manufacturer,Model,Number, Unit Price , Total Price ,Authority,Request data,Notes,Order of entry,76,76
2006/07 ,Sensory Software International,The Grid 2 - Single user licence,5, £360.00 ," £1,800.00 ",Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,141,,
2006/07 ,?,Laptop computers,3,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,142,,
2006/07 ,EchoVoice,EV5 speech Amplifier,2, £378.00 , £756.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,Going to assume this means EchoVoice,143,,
2007/08 ,Servox,Digital Electronic Larynx,1, £520.00 , £520.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,144,,
2007/08 ,Dynavox,Dynamo,2," £1,690.00 "," £3,380.00 ",Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,145,,
2007/08 ,Possum,SAY-IT! SAM,1," £3,200.00 "," £3,200.00 ",Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,146,,
2007/08 ,Liberator,Vantage Lite,1," £5,994.00 "," £5,994.00 ",Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,Assumed vantage lite as vantage not sold? Maybe in that year? ,147,,
2007/08 ,Inclusive,Bee-Bot,1, £46.00 , £46.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,148,,
2007/08 ,Augmentative Communication Inc.,Talking Photo Album,5, £18.91 , £94.55 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,149,,
2007/08 ,#N/A,Base Trainer,1,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,150,,
2007/08 ,#N/A,Switch adapted fan,2,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,151,,
2007/08 ,?,Switch Adapted toys,6,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,152,,
2007/08 ,?,Sensory switch,1,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,153,,
2007/08 ,Attainment Company Inc,Go Talk 20+,2, £114.00 , £228.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,154,,
2007/08 ,Attainment Company Inc,Go Talk 9+,2, £104.00 , £208.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,155,,
2007/08 ,Attainment Company Inc,Go Talk 4+,4, £94.00 , £376.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,156,,
2008/09 ,MegaBee,MegaBee,1, £786.00 , £786.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,157,,
2008/09 ,Toby Churchill,SL35 Lightwriter,2," £2,930.00 "," £5,860.00 ",Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,158,,
2008/09 ,?,Laptop computers,2,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,159,,
2008/09 ,Sensory Software International,The Grid 2 - Single user licence,5, £360.00 ," £1,800.00 ",Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,160,,
2008/09 ,#N/A,Warranty for Pathfinder,1,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,161,,
2008/09 ,?,switches,2,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,162,,
2008/09 ,Liberator,4Talk4,1, £229.00 , £229.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,163,,
2008/09 ,?,Scan 4,1,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,164,,
2008/09 ,#N/A,All Turn it Spinner,1,#N/A,#N/A,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,165,,
2008/09 ,Ablenet,Big Mack,7, £84.00 , £588.00 ,Forth Valley NHS Board,http://www.whatdotheyknow.com/request/aac_provision_6/new,,166,,
